10,30,None,0.3,0.5,0.2,0.045,4.003442960946414e-07,0.05
10,30,None,0.3,0.6,0.1,0.04499999999999999,4.003442960946414e-07,0.05
10,30,None,0.35,0.0,0.65,0.045,2.5023772583954756e-07,0.05
10,30,None,0.3,0.65,0.05,0.045,3.753284123608157e-07,0.05
10,30,None,0.35,0.05,0.6,0.045000000000000005,3.753284123608157e-07,0.05
10,30,None,0.3,0.7,0.0,0.04499999999999999,3.0027625415382145e-07,0.05
10,30,None,0.35,0.1,0.55,0.045,4.670496473775161e-07,0.05
10,30,None,0.35,0.15,0.5,0.045000000000000005,3.892262182780631e-07,0.05
10,30,None,0.35,0.25,0.4,0.045,3.3363360357655224e-07,0.05
10,30,None,0.35,0.2,0.45,0.045,4.336976393503877e-07,0.05
10,30,None,0.35,0.3,0.35,0.045,4.1702113463110307e-07,0.05
10,30,None,0.35,0.45,0.2,0.045,3.336336035765522e-07,0.05
10,30,None,0.35,0.35,0.3,0.045,3.6698961753009304e-07,0.05
10,30,None,0.35,0.4,0.25,0.045,3.3363360357655214e-07,0.05
10,30,None,0.35,0.5,0.15,0.045,3.892262182780631e-07,0.05
10,30,None,0.35,0.55,0.1,0.045,3.3363360357655224e-07,0.05
10,30,None,0.35,0.6,0.05,0.045,3.336336035765522e-07,0.05
10,30,None,0.35,0.65,0.0,0.045,4.003442960946414e-07,0.05
10,30,None,0.4,0.0,0.6,0.045,3.3363360357655224e-07,0.05
10,30,None,0.4,0.05,0.55,0.045,8.338336335134413e-07,0.05
10,30,None,0.4,0.15,0.45,0.045000000000000005,5.420867839242079e-07,0.05
10,30,None,0.4,0.1,0.5,0.04499999999999999,3.892262182780631e-07,0.05
10,30,None,0.4,0.2,0.4,0.045,3.0583590513526286e-07,0.05
10,30,None,0.4,0.25,0.35,0.045000000000000005,3.1278541669273206e-07,0.05
10,30,None,0.4,0.3,0.3,0.045,4.0510914116862077e-07,0.05
10,30,None,0.4,0.35,0.25,0.045,4.448151237142063e-07,0.05
10,30,None,0.4,0.4,0.2,0.045000000000000005,3.6143037460868207e-07,0.05
10,30,None,0.4,0.45,0.15,0.045000000000000005,3.812846432843859e-07,0.05
10,30,None,0.4,0.5,0.1,0.045,3.892262182780631e-07,0.05
10,30,None,0.45,0.0,0.55,0.045000000000000005,2.3633760131236883e-07,0.05
10,30,None,0.4,0.6,0.0,0.045000000000000005,5.004003202562049e-07,0.05
10,30,None,0.4,0.55,0.05,0.045000000000000005,3.6143037460868207e-07,0.05
10,30,None,0.45,0.05,0.5,0.045,3.336336035765522e-07,0.05
10,30,None,0.45,0.1,0.45,0.045000000000000005,5.00400320256205e-07,0.05
10,30,None,0.45,0.15,0.4,0.045000000000000005,3.1278541669273206e-07,0.05
10,30,None,0.45,0.2,0.35,0.045,6.671336602288269e-07,0.05
10,30,None,0.45,0.3,0.25,0.045,5.559818082752332e-07,0.05
10,30,None,0.45,0.35,0.2,0.045,7.504878170811029e-07,0.05
10,30,None,0.45,0.25,0.3,0.045,3.0027625415382145e-07,0.05
10,30,None,0.45,0.4,0.15,0.045000000000000005,7.227040249054925e-07,0.05
10,30,None,0.45,0.45,0.1,0.045000000000000005,3.3363360357655214e-07,0.05
10,30,None,0.45,0.5,0.05,0.04499999999999999,2.780372792384003e-07,0.05
10,30,None,0.45,0.55,0.0,0.04499999999999999,4.1702113463110307e-07,0.05
10,30,None,0.5,0.0,0.5,0.045,2.9656979955588673e-07,0.05
10,30,None,0.5,0.05,0.45,0.045,3.3363360357655214e-07,0.05
10,30,None,0.5,0.1,0.4,0.045000000000000005,2.9656979955588673e-07,0.05
10,30,None,0.5,0.15,0.35,0.04499999999999999,3.6143037460868207e-07,0.05
10,30,None,0.5,0.2,0.3,0.04499999999999999,3.0980706169450166e-07,0.05
10,30,None,0.5,0.3,0.2,0.045000000000000005,3.1278541669273206e-07,0.05
10,30,None,0.5,0.25,0.25,0.045,3.151019076640197e-07,0.05
10,30,None,0.5,0.35,0.15,0.04499999999999999,2.9656979955588673e-07,0.05
10,30,None,0.5,0.4,0.1,0.045,3.6143037460868207e-07,0.05
10,30,None,0.5,0.45,0.05,0.045000000000000005,5.004003202562049e-07,0.05
10,30,None,0.5,0.5,0.0,0.045,4.587117705440322e-07,0.05
10,30,None,0.55,0.05,0.4,0.04499999999999999,6.115595881424155e-07,0.05
10,30,None,0.55,0.0,0.45,0.045000000000000005,2.3633760131236883e-07,0.05
10,30,None,0.55,0.1,0.35,0.045,4.003442960946414e-07,0.05
10,30,None,0.55,0.15,0.3,0.045,4.1702113463110307e-07,0.05
10,30,None,0.55,0.2,0.25,0.045,3.1278541669273206e-07,0.05
10,30,None,0.55,0.25,0.2,0.045000000000000005,4.587117705440322e-07,0.05
10,30,None,0.55,0.3,0.15,0.04499999999999999,2.9656979955588673e-07,0.05
10,30,None,0.55,0.35,0.1,0.045000000000000005,3.6143037460868207e-07,0.05
10,30,None,0.55,0.4,0.05,0.045,3.0980706169450166e-07,0.05
10,30,None,0.6,0.0,0.4,0.045000000000000005,2.2243724489228476e-07,0.05
10,30,None,0.55,0.45,0.0,0.045000000000000005,3.336336035765522e-07,0.05
10,30,None,0.6,0.05,0.35,0.045,4.587117705440322e-07,0.05
10,30,None,0.6,0.1,0.3,0.045,4.670496473775161e-07,0.05
10,30,None,0.6,0.2,0.2,0.045,4.336976393503877e-07,0.05
10,30,None,0.6,0.25,0.15,0.045,4.587117705440322e-07,0.05
10,30,None,0.6,0.15,0.25,0.045,4.003442960946414e-07,0.05
10,30,None,0.6,0.3,0.1,0.04499999999999999,5.00400320256205e-07,0.05
10,30,None,0.6,0.4,0.0,0.045,5.00400320256205e-07,0.05
10,30,None,0.65,0.0,0.35,0.045000000000000005,2.5023772583954756e-07,0.05
10,30,None,0.65,0.05,0.3,0.045,4.336976393503877e-07,0.05
10,30,None,0.6,0.35,0.05,0.04499999999999999,4.336976393503877e-07,0.05
10,30,None,0.65,0.1,0.25,0.045000000000000005,6.115595881424155e-07,0.05
10,30,None,0.65,0.2,0.15,0.04499999999999999,5.559818082752332e-07,0.05
10,30,None,0.65,0.15,0.2,0.045,4.003442960946414e-07,0.05
10,30,None,0.65,0.25,0.1,0.045,4.587117705440322e-07,0.05
10,30,None,0.65,0.3,0.05,0.045,3.0980706169450166e-07,0.05
10,30,None,0.65,0.35,0.0,0.04499999999999999,5.004003202562049e-07,0.05
10,30,None,0.7,0.0,0.3,0.045000000000000005,2.3633760131236883e-07,0.05
10,30,None,0.7,0.05,0.25,0.04499999999999999,3.5745946409677144e-07,0.05
10,30,None,0.7,0.1,0.2,0.045,4.670496473775161e-07,0.05
10,30,None,0.7,0.2,0.1,0.045000000000000005,5.004003202562049e-07,0.05
10,30,None,0.7,0.15,0.15,0.045000000000000005,3.3363360357655224e-07,0.05
10,30,None,0.7,0.3,0.0,0.04499999999999999,3.6698961753009304e-07,0.05
10,30,None,0.7,0.25,0.05,0.045000000000000005,3.0027625415382145e-07,0.05
10,30,None,0.75,0.0,0.25,0.045000000000000005,2.595043466978072e-07,0.05
10,30,None,0.75,0.05,0.2,0.085,0.0,0.0
10,30,None,0.75,0.1,0.15,0.04499999999999999,4.670496473775161e-07,0.05
10,30,None,0.75,0.15,0.1,0.045,3.753284123608157e-07,0.05
10,30,None,0.75,0.2,0.05,0.04499999999999999,4.336976393503877e-07,0.05
10,30,None,0.75,0.25,0.0,0.04499999999999999,4.336976393503877e-07,0.05
10,30,None,0.8,0.0,0.2,0.045000000000000005,3.3363360357655214e-07,0.05
10,30,None,0.8,0.05,0.15,0.045,5.559818082752332e-07,0.05
10,30,None,0.8,0.1,0.1,0.045,4.003442960946414e-07,0.05
10,30,None,0.8,0.15,0.05,0.04499999999999999,3.151019076640197e-07,0.05
10,30,None,0.8,0.2,0.0,0.045000000000000005,3.3363360357655214e-07,0.05
10,30,None,0.85,0.05,0.1,0.045,5.559818082752332e-07,0.05
10,30,None,0.85,0.0,0.15,0.045000000000000005,2.7108747784381187e-07,0.05
10,30,None,0.85,0.15,0.0,0.045,3.6698961753009304e-07,0.05
10,30,None,0.85,0.1,0.05,0.04499999999999999,4.1702113463110307e-07,0.05
10,30,None,0.9,0.0,0.1,0.045000000000000005,2.5023772583954756e-07,0.05
10,30,None,0.95,0.0,0.05,0.045000000000000005,2.780372792384003e-07,0.05
10,30,None,0.9,0.1,0.0,0.045,4.1702113463110307e-07,0.05
10,30,None,0.9,0.05,0.05,0.045,3.6698961753009304e-07,0.05
10,30,None,0.95,0.05,0.0,0.045,3.1695509580384813e-07,0.05
10,30,None,0.0,1.0,0.0,0.04499999999999999,3.892262182780631e-07,0.05
10,30,None,0.0,0.0,1.0,0.045000000000000005,2.578195142073718e-07,0.05
10,30,None,1.0,0.0,0.0,0.045000000000000005,2.3633760131236883e-07,0.05
10,30,None,0.0,0.05,0.95,0.04499999999999999,5.004003202562049e-07,0.05
10,30,None,0.0,0.1,0.9,0.04499999999999999,6.671336602288269e-07,0.05
10,30,None,0.0,0.15,0.85,0.045000000000000005,2.9656979955588673e-07,0.05
10,30,None,0.0,0.2,0.8,0.045,3.151019076640197e-07,0.05
10,30,None,0.0,0.25,0.75,0.04499999999999999,3.5745946409677144e-07,0.05
10,30,None,0.0,0.3,0.7,0.045,3.336336035765522e-07,0.05
10,30,None,0.0,0.35,0.65,0.045,3.544812687927202e-07,0.05
10,30,None,0.0,0.4,0.6,0.045000000000000005,3.1278541669273206e-07,0.05
10,30,None,0.0,0.45,0.55,0.045,4.003442960946414e-07,0.05
10,30,None,0.0,0.5,0.5,0.045000000000000005,4.003442960946414e-07,0.05
10,30,None,0.0,0.55,0.45,0.045,4.003442960946414e-07,0.05
10,30,None,0.0,0.6,0.4,0.045000000000000005,3.3363360357655224e-07,0.05
10,30,None,0.0,0.65,0.35,0.045,3.3363360357655214e-07,0.05
10,30,None,0.0,0.7,0.3,0.04499999999999999,5.004003202562049e-07,0.05
10,30,None,0.0,0.75,0.25,0.04499999999999999,5.004003202562049e-07,0.05
10,30,None,0.0,0.85,0.15,0.045,3.6698961753009304e-07,0.05
10,30,None,0.0,0.8,0.2,0.045,3.336336035765522e-07,0.05
10,30,None,0.0,0.9,0.1,0.045,4.0510914116862077e-07,0.05
10,30,None,0.0,0.95,0.05,0.04499999999999999,3.892262182780631e-07,0.05
10,30,None,0.05,0.1,0.85,0.04499999999999999,3.892262182780631e-07,0.05
10,30,None,0.05,0.0,0.95,0.04499999999999999,2.6691756918169744e-07,0.05
10,30,None,0.05,0.05,0.9,0.04499999999999999,3.336336035765522e-07,0.05
10,30,None,0.05,0.15,0.8,0.045,4.670496473775161e-07,0.05
10,30,None,0.05,0.25,0.7,0.04499999999999999,3.1278541669273206e-07,0.05
10,30,None,0.05,0.2,0.75,0.045,2.6691756918169744e-07,0.05
10,30,None,0.05,0.35,0.6,0.045,4.003442960946414e-07,0.05
10,30,None,0.05,0.3,0.65,0.045,4.003442960946414e-07,0.05
10,30,None,0.05,0.45,0.5,0.04499999999999999,5.559818082752332e-07,0.05
10,30,None,0.05,0.4,0.55,0.045,3.336336035765522e-07,0.05
10,30,None,0.05,0.55,0.4,0.04499999999999999,3.5745946409677144e-07,0.05
10,30,None,0.05,0.5,0.45,0.045,2.7108747784381187e-07,0.05
10,30,None,0.05,0.65,0.3,0.04499999999999999,3.3363360357655214e-07,0.05
10,30,None,0.05,0.6,0.35,0.045,2.919367081216792e-07,0.05
10,30,None,0.05,0.75,0.2,0.045000000000000005,3.5745946409677144e-07,0.05
10,30,None,0.05,0.7,0.25,0.045,5.004003202562049e-07,0.05
